Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Anthony Veneziano*,26,KCR,AL,0.0,0,0,,4.5,2,0,1,0,0,0,2.0,4,2,1,0,1,0,2,0,0,0,11,108.0,2.67,2.5,18.0,0.0,4.5,9.0,2.0,nan,venezan01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Duffey,33,KCR,AL,0.0,1,0,1.0,5.0,9,0,0,0,0,0,9.0,7,5,5,0,8,0,10,1,0,0,42,85.0,3.94,1.667,7.0,0.0,8.0,10.0,1.25,nan,duffety01,608648.0,2022.5,31.5,28.5,29.275,122.0,107.25,25.25,16.75,5.0,0.25,3.25,28.25,12.75,27.95,9.525,0.2115,0.41625,0.2905,0.70675,0.20475,0.22125,13.0,13.75,1.25,1.25,88.0,1.5,1.75,1.75,0.0,0.0,4.3975,,,0.25,0.0,9.0,0.2175,0.44275,0.30775,0.3265,0.29925,0.22575,70.75,15.7,12.9,10.65,29.3,24.25,7.3,1.5,10.5,-4.2,71.95,31.6,90.375,21.85,38.25,13.0,41.425,80.6748142885,94.5973387537,23.475,43.3
Will Klein,24,KCR,AL,-0.1,1,0,1.0,6.35,5,0,2,0,0,0,5.2,10,4,4,0,2,0,6,0,0,0,27,69.0,2.11,2.118,15.9,0.0,3.2,9.5,3.0,nan,kleinwi01,694361.0,2024.5,24.5,11.0,11.1,54.0,44.0,13.0,9.0,4.0,0.0,0.0,14.0,8.0,24.2,15.05,0.3165,0.416,0.4225,0.8385,0.0995,0.429,6.5,7.5,0.0,0.0,34.0,1.0,0.5,0.5,0.0,0.0,6.7,,,1.0,0.0,3.5,0.2905,0.4305,0.3715,0.3685,0.403,0.14,70.3,18.1,18.1,14.85,30.3,24.85,6.8,2.0,6.75,5.15,46.8,30.9,90.2,7.1,40.25,6.7,41.6,77.874401389,95.636363264,24.05,39.8
Colin Selby,26,KCR,AL,-0.1,0,0,,6.0,2,0,1,0,0,0,3.0,2,3,2,0,2,0,0,0,0,1,13,77.0,5.17,1.333,6.0,0.0,6.0,0.0,0.0,nan,selbyco01,681882.0,2024.0,26.0,12.3333333333,15.0,67.3333333333,59.6666666667,16.0,12.3333333333,1.66666666667,0.0,2.0,16.3333333333,7.0,22.5,10.2666666667,0.234,0.333333333333,0.325,0.658333333333,0.0993333333333,0.297,10.3333333333,10.6666666667,0.0,1.0,45.0,0.666666666667,1.33333333333,1.33333333333,0.0,0.0,4.92666666667,,,1.0,0.0,10.0,0.229666666667,0.373333333333,0.298666666667,0.311666666667,0.319,0.143666666667,71.6666666667,25.5666666667,18.4333333333,14.2666666667,36.8,28.1666666667,7.33333333333,3.0,9.96666666667,-1.9,61.5666666667,32.6333333333,89.6666666667,5.5,25.0,7.9,45.4666666667,78.6413399863,94.5875254243,26.2333333333,43.8666666667
Steven Cruz,25,KCR,AL,0.2,0,0,,0.0,5,0,3,0,0,0,5.2,1,0,0,0,0,0,4,0,0,1,18,,1.75,0.176,1.6,0.0,0.0,6.4,,nan,cruzst01,674444.0,2024.0,25.0,20.6666666667,20.8666666667,89.6666666667,79.0,16.0,10.0,3.66666666667,0.333333333333,2.0,19.0,9.66666666667,22.1666666667,9.06666666667,0.163,0.266333333333,0.239333333333,0.505666666667,0.103333333333,0.203,8.66666666667,9.0,0.0,0.0,64.0,1.0,0.333333333333,1.0,0.0,0.0,2.90333333333,,,0.333333333333,0.0,14.3333333333,0.194333333333,0.322333333333,0.224333333333,0.264333333333,0.272,0.128,70.8333333333,17.4666666667,10.3,8.06666666667,34.4,27.1,7.06666666667,3.33333333333,7.1,3.5,44.4,32.6666666667,90.6,14.9666666667,31.5666666667,4.63333333333,41.3666666667,81.7726280287,94.163670194,24.1,48.1
Jordan Lyles,33,KCR,AL,0.2,0,0,,0.0,5,0,3,0,0,0,5.0,2,0,0,0,2,0,3,0,0,0,19,,3.17,0.8,3.6,0.0,3.6,5.4,1.5,nan,lylesjo01,543475.0,2022.5,31.5,25.0,135.3,577.5,528.25,142.0,82.25,32.5,1.5,25.75,103.25,38.75,17.35,7.625,0.23175,0.42225,0.2955,0.71775,0.1905,0.253,78.75,82.0,0.0,0.0,406.25,7.0,10.25,6.0,0.0,0.0,3.9625,,,9.0,7.5,78.75,0.25425,0.4685,0.31,0.33875,0.3165,0.2145,71.95,22.75,16.7,13.2,37.3,29.45,7.4,4.5,13.3,-4.4,65.15,29.95,90.15,16.675,33.45,10.925,45.05,79.869422931,94.7178704218,23.6,48.85
Dan Altavilla,31,KCR,AL,-0.3,0,1,0.0,14.73,5,1,0,0,0,0,3.2,5,6,6,1,3,0,5,1,0,0,21,31.0,7.26,2.182,12.3,2.5,7.4,12.3,1.67,nan,altavda01,656186.0,2023.33333333,30.3333333333,11.6666666667,11.1,48.6666666667,40.3333333333,8.33333333333,4.33333333333,2.0,0.0,2.0,9.33333333333,6.0,27.1,8.93333333333,0.234333333333,0.574333333333,0.323,0.897333333333,0.34,0.2,5.0,5.33333333333,0.666666666667,0.333333333333,34.0,0.0,0.666666666667,0.333333333333,0.0,0.0,7.98666666667,,,0.666666666667,0.0,3.33333333333,0.239666666667,0.565,0.381666666667,0.387,0.331666666667,0.325666666667,72.4,26.65,16.05,11.7,34.15,25.15,7.3,1.5,10.8,2.05,64.0,30.8,88.5666666667,17.7,29.7666666667,17.0666666667,33.6666666667,77.5791909403,94.9474751903,20.4666666667,47.9
Jonathan Bowlan,27,KCR,AL,-0.2,0,1,0.0,13.5,1,1,0,0,0,0,2.2,6,4,4,3,3,0,3,0,0,0,17,35.0,18.92,3.375,20.3,10.1,10.1,10.1,1.0,nan,bowlajo01,680742.0,2024.0,27.0,12.3333333333,16.4333333333,70.3333333333,63.0,16.0,9.66666666667,3.0,0.0,3.33333333333,17.3333333333,6.66666666667,21.5333333333,9.0,0.338666666667,0.68,0.396,1.076,0.341333333333,0.352333333333,8.0,8.66666666667,0.0,0.0,50.0,0.333333333333,1.33333333333,0.333333333333,0.0,0.0,6.78666666667,,,1.0,0.0,7.0,0.264333333333,0.463,0.446333333333,0.345,0.331666666667,0.199,71.4,17.0333333333,15.2,10.3,30.8666666667,21.1,7.26666666667,3.33333333333,8.83333333333,0.633333333333,55.2,32.2666666667,85.5666666667,15.3666666667,38.1333333333,9.2,30.4666666667,74.1357376053,93.0193688383,31.7666666667,51.3666666667
Garrett Hampson,29,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,4,,6.17,0.0,0.0,0.0,0.0,0.0,,nan,hampsga01,641658.0,2024.0,29.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.103,0.178,0.18,0.268,0.327,0.076,75.5,40.0,20.0,20.0,20.0,20.0,7.3,0.0,13.2,-8.0,80.0,22.6,86.4,46.6,33.3,0.0,0.0,82.211055,90.232356667,0.0,38.5
Nick Loftin,25,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,,3.17,1.0,9.0,0.0,0.0,0.0,,nan,loftini01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pratto*,25,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,4,,1.17,1.0,9.0,0.0,0.0,9.0,,nan,prattni01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
